2020-01-17 15:32:27,230 [INFO ]  Start of log for device: latency
2020-01-17 15:32:29,278 [INFO ]  connected to broker
2020-01-17 15:32:29,280 [INFO ]  ('subscribed to topic', 'client-computers')
2020-01-17 15:32:29,280 [INFO ]  ('subscribed to topic', 'latency')
2020-01-17 15:32:29,280 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 15:32:29", "type": "connection", "contents": {"connection": true}}')
2020-01-17 15:32:55,471 [INFO ]  ('message received: topic', 'latency', 'message', '{"device_id":"back-end","time_sent":"17-01-2020 15:32:55","type":"instruction","contents":[{"instructed_by":"back-end","instruction":"ping"}]}')
2020-01-17 15:32:55,476 [INFO ]  ('instruction performed', 'ping')
2020-01-17 15:32:55,477 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 15:32:55", "type": "confirmation", "contents": {"completed": true, "instructed": {"device_id": "back-end", "time_sent": "17-01-2020 15:32:55", "type": "instruction", "contents": [{"instructed_by": "back-end", "instruction": "ping"}]}}}')
2020-01-17 15:32:55,478 [INFO ]  ('message received: topic', 'latency', 'message', '{"device_id":"back-end","time_sent":"17-01-2020 15:32:55","type":"instruction","contents":[{"instruction":"status update"}]}')
2020-01-17 15:32:55,478 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 15:32:55", "type": "connection", "contents": {"connection": true}}')
2020-01-17 15:33:44,797 [INFO ]  ('message received: topic', 'latency', 'message', '{"device_id":"back-end","time_sent":"17-01-2020 15:33:44","type":"instruction","contents":[{"instructed_by":"back-end","instruction":"ping"}]}')
2020-01-17 15:33:44,797 [INFO ]  ('instruction performed', 'ping')
2020-01-17 15:33:44,798 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 15:33:44", "type": "confirmation", "contents": {"completed": true, "instructed": {"device_id": "back-end", "time_sent": "17-01-2020 15:33:44", "type": "instruction", "contents": [{"instructed_by": "back-end", "instruction": "ping"}]}}}')
2020-01-17 15:33:44,798 [INFO ]  ('message received: topic', 'latency', 'message', '{"device_id":"back-end","time_sent":"17-01-2020 15:33:44","type":"instruction","contents":[{"instruction":"status update"}]}')
