2020-01-21 14:47:20,001 [INFO ]  Start of log for device: hue_lights
2020-01-21 14:47:20,015 [INFO ]  connected to broker
2020-01-21 14:47:20,015 [INFO ]  ('subscribed to topic', 'lamp')
2020-01-21 14:47:20,016 [INFO ]  ('subscribed to topic', 'client-computers')
2020-01-21 14:47:20,016 [INFO ]  ('subscribed to topic', 'hue_lights')
2020-01-21 14:47:20,016 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:47:20", "type": "connection", "contents": {"connection": true}}')
2020-01-21 14:47:20,016 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:47:20", "type": "status", "contents": {"all": "none"}}')
2020-01-21 14:47:20,019 [INFO ]  connected OK
2020-01-21 14:48:34,067 [INFO ]  ('message received: topic', 'hue_lights', 'message', '{"device_id":"back-end","time_sent":"21-01-2020 14:48:34","type":"instruction","contents":[{"instruction":"status update"}]}')
2020-01-21 14:48:34,068 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:48:34", "type": "connection", "contents": {"connection": true}}')
2020-01-21 14:48:34,069 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:48:34", "type": "status", "contents": {"all": "none"}}')
2020-01-21 14:48:34,069 [INFO ]  ('instruction performed', 'status update')
2020-01-21 14:48:34,069 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:48:34", "type": "confirmation", "contents": {"completed": true, "instructed": {"device_id": "back-end", "time_sent": "21-01-2020 14:48:34", "type": "instruction", "contents": [{"instruction": "status update"}]}}}')
2020-01-21 14:48:36,609 [INFO ]  ('message received: topic', 'hue_lights', 'message', '{"device_id":"back-end","time_sent":"21-01-2020 14:48:36","type":"instruction","contents":[{"instructed_by":"front-end","instruction":"test"}]}')
2020-01-21 14:48:36,613 [INFO ]  Starting new HTTP connection (1): 192.168.178.128
2020-01-21 14:48:57,621 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:48:57", "type": "connection", "contents": {"connection": false}}')
2020-01-21 14:48:57,621 [WARNI]  disconnecting, reason 1
2020-01-21 14:48:58,624 [INFO ]  ('subscribed to topic', 'lamp')
2020-01-21 14:48:58,624 [INFO ]  ('subscribed to topic', 'client-computers')
2020-01-21 14:48:58,624 [INFO ]  ('subscribed to topic', 'hue_lights')
2020-01-21 14:48:58,625 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:48:58", "type": "connection", "contents": {"connection": true}}')
2020-01-21 14:48:58,625 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:48:58", "type": "status", "contents": {"all": "none"}}')
2020-01-21 14:48:58,625 [INFO ]  connected OK
